feature,importance,importance_pct,cumulative_pct
text__carga,0.0,0.0,99.99999
text__car,0.0,0.0,99.99999
text__capot,0.0,0.0,99.99999
text__cap,0.0,0.0,99.99999
text__chaleco,0.0,0.0,99.99999
text__ceramica,0.0,0.0,99.99999
text__centro,0.0,0.0,99.99999
text__central,0.0,0.0,99.99999
text__cd importado,0.0,0.0,99.99999
text__cd db3,0.0,0.0,99.99999
text__cc,0.0,0.0,99.99999
text__caño,0.0,0.0,99.99999
text__caña,0.0,0.0,99.99999
text__cassette,0.0,0.0,99.99999
text__casio,0.0,0.0,99.99999
text__club,0.0,0.0,99.99999
text__clio,0.0,0.0,99.99999
text__classic,0.0,0.0,99.99999
text__ciudad,0.0,0.0,99.99999
text__citroen,0.0,0.0,99.99999
text__cinta,0.0,0.0,99.99999
text__cine,0.0,0.0,99.99999
text__cilindro,0.0,0.0,99.99999
text__cierre,0.0,0.0,99.99999
text__ciencias,0.0,0.0,99.99999
text__ciencia,0.0,0.0,99.99999
text__china,0.0,0.0,99.99999
text__chevrolet corsa,0.0,0.0,99.99999
text__conjunto,0.0,0.0,99.99999
text__completas,0.0,0.0,99.99999
text__combo,0.0,0.0,99.99999
text__colgante,0.0,0.0,99.99999
text__colección,0.0,0.0,99.99999
text__colchon,0.0,0.0,99.99999
text__cola,0.0,0.0,99.99999
text__col,0.0,0.0,99.99999
text__cocina,0.0,0.0,99.99999
text__cruz,0.0,0.0,99.99999
text__corven,0.0,0.0,99.99999
text__corto,0.0,0.0,99.99999
text__corte,0.0,0.0,99.99999
text__corsa,0.0,0.0,99.99999
text__correa,0.0,0.0,99.99999
text__core,0.0,0.0,99.99999
text__cordoba,0.0,0.0,99.99999
text__corazon,0.0,0.0,99.99999
text__control remoto,0.0,0.0,99.99999
text__control,0.0,0.0,99.99999
text__de13,0.0,0.0,99.99999
text__de12,0.0,0.0,99.99999
text__dc,0.0,0.0,99.99999
text__db3,0.0,0.0,99.99999
text__david,0.0,0.0,99.99999
text__daniel,0.0,0.0,99.99999
text__dama,0.0,0.0,99.99999
text__cámara,0.0,0.0,99.99999
text__cuna,0.0,0.0,99.99999
text__cuerpos,0.0,0.0,99.99999
text__cuerpo,0.0,0.0,99.99999
text__cuentos,0.0,0.0,99.99999
text__cuchillo,0.0,0.0,99.99999
text__cubre,0.0,0.0,99.99999
text__cuadros,0.0,0.0,99.99999
text__disco freno,0.0,0.0,99.99999
text__direccion,0.0,0.0,99.99999
text__diesel,0.0,0.0,99.99999
text__diccionario,0.0,0.0,99.99999
text__diario,0.0,0.0,99.99999
text__dia,0.0,0.0,99.99999
text__di16,0.0,0.0,99.99999
text__di,0.0,0.0,99.99999
text__derecho,0.0,0.0,99.99999
text__der,0.0,0.0,99.99999
text__deportivo,0.0,0.0,99.99999
text__decoracion,0.0,0.0,99.99999
text__dual,0.0,0.0,99.99999
text__dr,0.0,0.0,99.99999
text__dos,0.0,0.0,99.99999
text__dorado,0.0,0.0,99.99999
text__don,0.0,0.0,99.99999
text__doble,0.0,0.0,99.99999
text__dj,0.0,0.0,99.99999
text__distribucion,0.0,0.0,99.99999
text__display,0.0,0.0,99.99999
text__disfraz,0.0,0.0,99.99999
text__diseño,0.0,0.0,99.99999
text__electrico,0.0,0.0,99.99999
text__electrica,0.0,0.0,99.99999
text__eduardo,0.0,0.0,99.99999
text__editorial,0.0,0.0,99.99999
text__edition,0.0,0.0,99.99999
text__edición,0.0,0.0,99.99999
text__ediciones,0.0,0.0,99.99999
text__ecosport,0.0,0.0,99.99999
text__eco,0.0,0.0,99.99999
text__ebook,0.0,0.0,99.99999
text__día,0.0,0.0,99.99999
text__especial,0.0,0.0,99.99999
text__español,0.0,0.0,99.99999
text__escort,0.0,0.0,99.99999
text__es,0.0,0.0,99.99999
text__equipo,0.0,0.0,99.99999
text__epson,0.0,0.0,99.99999
text__envío,0.0,0.0,99.99999
text__envio gratis,0.0,0.0,99.99999
text__enrique,0.0,0.0,99.99999
text__english,0.0,0.0,99.99999
text__faro trasero,0.0,0.0,99.99999
text__falcon,0.0,0.0,99.99999
text__fabrica,0.0,0.0,99.99999
text__extra,0.0,0.0,99.99999
text__exterior,0.0,0.0,99.99999
text__ex,0.0,0.0,99.99999
text__etc,0.0,0.0,99.99999
text__estudio,0.0,0.0,99.99999
text__estuche,0.0,0.0,99.99999
text__estampada,0.0,0.0,99.99999
text__espirales,0.0,0.0,99.99999
text__espiral,0.0,0.0,99.99999
text__espejo,0.0,0.0,99.99999
text__for,0.0,0.0,99.99999
text__focus,0.0,0.0,99.99999
text__flores,0.0,0.0,99.99999
text__flash,0.0,0.0,99.99999
text__figura,0.0,0.0,99.99999
text__fiat uno,0.0,0.0,99.99999
text__fiat palio,0.0,0.0,99.99999
text__ferrari,0.0,0.0,99.99999
text__fender,0.0,0.0,99.99999
text__galaxy,0.0,0.0,99.99999
text__futbol,0.0,0.0,99.99999
text__full,0.0,0.0,99.99999
text__fuente,0.0,0.0,99.99999
text__fuego,0.0,0.0,99.99999
text__fric rot,0.0,0.0,99.99999
text__fric,0.0,0.0,99.99999
text__frente,0.0,0.0,99.99999
text__freno delantera,0.0,0.0,99.99999
text__francia,0.0,0.0,99.99999
